no,sub,name,sub_name,area,omosa,takasa,sex,bunrui,tokusei_1,tokusei_2,type_1,type_2,text_1,text_2,text_3,spec_hp,spec_kougeki,spec_bougyo,spec_tokukou,spec_tokubou,spec_subayasa,sugata_text_flg,sugata_text,mega_flg,genshi_flg,kyodai_flg,image_l,image_m,image_s,zukan_no
0006,3,リザードン,キョダイマックスのすがた,8,"9,999.9",28.0,1,-,227,0,2,10,キョダイマックスの　パワーによって　ほのおの　つばさを　もつ　きょだいな　リザードンの　すがたが　つくられた。　（『ポケットモンスター ソード』より）,せっし２０００どの　ほのおが　たいないで　うずまく。　ほえると　かりょくが　さらに　あがる。　（『ポケットモンスター シールド』より）,,5,5,5,7,5,6,0,,0,0,1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/7745a2e6d111c4c9c7cb1df92d08ece5.jpg,https://zukan.pokemon.co.jp/zukan-api/up/images/index/3d12b5be5422a9198988501b8699cf1d.png,https://zukan.pokemon.co.jp/zukan-api/up/images/index/697b801f8449411e018575ab43bc5f46.png,0006-3
0007,0,ゼニガメ,,1,9.0,0.5,1,かめのこポケモン,58,0,3,0,生まれたあと　背中が　ふくらんで　硬い　甲羅が　できる。　口から　強力な　泡を　出す。　（『ポケットモンスター スカーレット』より）,生まれたては　柔らかい　甲羅も　すぐに　指でつつくと　弾くほどの　弾力性を　持つようになる。　（『ポケットモンスター バイオレット』より）,,3,3,4,3,4,3,0,,0,0,0,https://zukan.pokemon.co.jp/zukan-api/up/images/index/3c0c0397d78e96fbc5b224a1c84f27eb.jpg,https://zukan.pokemon.co.jp/zukan-api/up/images/index/17388b7f608671656716ab509ee0fa05.png,https://zukan.pokemon.co.jp/zukan-api/up/images/index/f1a0d49b1c09f66333fcb4ec28f9ea16.png,0007
0008,0,カメール,,1,22.5,1.0,1,かめポケモン,58,0,3,0,長くて　ふさふさの　尻尾は　長生きの　シンボル。　とくに　お年寄りに　人気がある。　（『ポケットモンスター スカーレット』より）,しばしば　水中に　隠れ　獲物を　狙う。　高速で　泳ぐとき　耳で　バランスをとる。　（『ポケットモンスター バイオレット』より）,,4,4,5,4,5,4,0,,0,0,0,https://zukan.pokemon.co.jp/zukan-api/up/images/index/73038e23fd6e39b0f607553d90e5d6bf.jpg,https://zukan.pokemon.co.jp/zukan-api/up/images/index/7c861520e0eb69f872a4e13a9f04eaba.png,https://zukan.pokemon.co.jp/zukan-api/up/images/index/96a5203e00d4ba7197f5d438d9cdea0b.png,0008
0009,0,カメックス,,1,85.5,1.6,1,こうらポケモン,58,0,3,0,噴射した　水の　勢いに　負けないように　わざと　体重を　重くしているのだ。　（『ポケットモンスター スカーレット』より）,甲羅に　噴射口が　あって　ロケットのような　勢いで　突っこんでくる　すごい　やつだ。　（『ポケットモンスター バイオレット』より）,,5,5,6,5,7,5,0,,0,0,0,https://zukan.pokemon.co.jp/zukan-api/up/images/index/c5a93ed0f464eeb9294e34a6f3d09e5a.jpg,https://zukan.pokemon.co.jp/zukan-api/up/images/index/81d2cf3830b75053da5b39dc22aa9a27.png,https://zukan.pokemon.co.jp/zukan-api/up/images/index/bf747ef914143880c46016105ca155da.png,0009
0009,1,メガカメックス,,1,101.1,1.6,1,こうらポケモン,223,0,3,0,からだが　おもたく　のしかかって　あいてを　きぜつさせる。　ピンチの　ときは　カラに　かくれる。　（『ポケットモンスター Ｘ』より）,こうらに　ふんしゃこうが　あって　ロケットのような　いきおいで　つっこんでくる　すごい　やつだ。　（『ポケットモンスター Ｙ』より）,,5,7,8,8,7,5,0,,1,0,0,https://zukan.pokemon.co.jp/zukan-api/up/images/index/f7e5c0b5f7def0ce5854346f7f881d2a.jpg,https://zukan.pokemon.co.jp/zukan-api/up/images/index/be595774fa703c2ca3a2179d1e885c8e.png,https://zukan.pokemon.co.jp/zukan-api/up/images/index/1a01bf3e79832906ed08b3ac5ab7a22a.png,0009-1
0009,2,カメックス,キョダイマックスのすがた,8,"9,999.9",25.0,1,-,58,0,3,0,せいみつな　しゃげきは　ニガテ。　３１もんの　たいほうで　うってうって　うちまくる　スタイルで　せめるのだ。　（『ポケットモンスター ソード』より）,まんなかの　しゅほうから　はなたれる　みずでっぽうは　やまを　うちぬき　あなを　あける　はかいりょくだ。　（『ポケットモンスター シールド』より）,,5,5,6,5,7,5,0,,0,0,1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/5d962c04b7ebaf0b44715c2070670bf7.jpg,https://zukan.pokemon.co.jp/zukan-api/up/images/index/81b5811ff3809e4e4816d0a04f95d903.png,https://zukan.pokemon.co.jp/zukan-api/up/images/index/60fd087ddbdb6016221496154595fab8.png,0009-2
0010,0,キャタピー,,1,2.9,0.3,1,いもむしポケモン,244,0,12,0,あかい　しょっかくから　においを　だして　てきを　おいはらう。　だっぴを　くりかえし　おおきくなる。　（『ポケットモンスター ブリリアントダイヤモンド・シャイニングパール』より）,,,3,2,3,2,2,3,0,,0,0,0,https://zukan.pokemon.co.jp/zukan-api/up/images/index/7c92169ed7b6289e33cb98172d1d4fb4.jpg,https://zukan.pokemon.co.jp/zukan-api/up/images/index/e97edb1243b8cb641186391489eaf2ee.png,https://zukan.pokemon.co.jp/zukan-api/up/images/index/e5d03c9009b0135a6ee0fe78cf6250d8.png,0010
0011,0,トランセル,,1,9.9,0.7,1,さなぎポケモン,111,0,12,0,こうてつのように　かたい　カラで　やわらかい　なかみを　まもっている。　しんかするまで　じっと　たえている。　（『ポケットモンスター ブリリアントダイヤモンド・シャイニングパール』より）,,,3,2,4,2,2,2,0,,0,0,0,https://zukan.pokemon.co.jp/zukan-api/up/images/index/c25fb7c7997eea49a80aa3d70c3b5a34.jpg,https://zukan.pokemon.co.jp/zukan-api/up/images/index/f836c66e2fb51a54a2af3af4a7ee7583.png,https://zukan.pokemon.co.jp/zukan-api/up/images/index/bbc6a525ae10c99c7bbda84439fea5cd.png,0011
0012,0,バタフリー,,1,32.0,1.1,1,ちょうちょポケモン,179,0,12,10,はなの　ミツが　だいこうぶつ。　わずかな　かふんで　はなばたけの　ばしょを　さがしだすことが　できる。　（『ポケットモンスター ブリリアントダイヤモンド・シャイニングパール』より）,,,4,3,3,6,5,5,0,,0,0,0,https://zukan.pokemon.co.jp/zukan-api/up/images/index/51c52fbb6c9080b337a2c34503946a81.jpg,https://zukan.pokemon.co.jp/zukan-api/up/images/index/4df848214983ca8731ecdcb0ebce9d50.png,https://zukan.pokemon.co.jp/zukan-api/up/images/index/4eeaea98d1a502385d951ad34860e2a1.png,0012
0012,1,バタフリー,キョダイマックスのすがた,8,"9,999.9",17.0,1,-,179,0,12,10,キョダイマックスの　パワーが　けっしょうとなり　まばゆく　ひかる　もうどくの　りんぷんに　なっている。　（『ポケットモンスター ソード』より）,１０トントラックをも　ふきとばす　たつまきに　まきこみつつ　もうどくの　りんぷんで　とどめを　さす。　（『ポケットモンスター シールド』より）,,4,3,3,6,5,5,0,,0,0,1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/0557bcb759640e2eab2462fe462fa6e4.jpg,https://zukan.pokemon.co.jp/zukan-api/up/images/index/67f12cbf0695f6e21a2dde8ca0aeae32.png,https://zukan.pokemon.co.jp/zukan-api/up/images/index/d71eff992b92dc293eb4a398ef0e68ee.png,0012-1
0013,0,ビードル,,1,3.2,0.3,1,けむしポケモン,244,0,12,8,まいにち　じぶんと　おなじ　おもさの　はっぱを　たべる。　あたまの　ハリで　おそってきた　てきを　げきたい。　（『ポケットモンスター ブリリアントダイヤモンド・シャイニングパール』より）,,,3,3,2,2,2,3,0,,0,0,0,https://zukan.pokemon.co.jp/zukan-api/up/images/index/2ef5d6c6075c60818d8d90e17dcc82fc.jpg,https://zukan.pokemon.co.jp/zukan-api/up/images/index/1e553bacdabb816e6cc07cf68160bed3.png,https://zukan.pokemon.co.jp/zukan-api/up/images/index/561e35ed92ea4b1fe459cac0e34df610.png,0013
0014,0,コクーン,,1,10.0,0.6,1,さなぎポケモン,111,0,12,8,てんてきに　みつからないように　はっぱの　うらや　えだの　すきまに　かくれて　しんかの　ときを　まつ。　（『ポケットモンスター ブリリアントダイヤモンド・シャイニングパール』より）,,,3,2,3,2,2,3,0,,0,0,0,https://zukan.pokemon.co.jp/zukan-api/up/images/index/499ffee7d6ffc381b0e3280e18cc8fbb.jpg,https://zukan.pokemon.co.jp/zukan-api/up/images/index/e808242baaed1161df1f7361b91b25d8.png,https://zukan.pokemon.co.jp/zukan-api/up/images/index/dc50fd1c89809099ccdfd6c693abc2e9.png,0014
0015,0,スピアー,,1,29.5,1.0,1,どくばちポケモン,222,0,12,8,こうそくで　とびまわり　どくバリで　こうげきしたあと　すぐに　とびさる　せんぽうが　とくいわざだ。　（『ポケットモンスター ブリリアントダイヤモンド・シャイニングパール』より）,,,4,6,3,3,5,5,0,,0,0,0,https://zukan.pokemon.co.jp/zukan-api/up/images/index/dd7edce92bb9820147832f7011179de0.jpg,https://zukan.pokemon.co.jp/zukan-api/up/images/index/793c7baad51f915c185abe80f6502502.png,https://zukan.pokemon.co.jp/zukan-api/up/images/index/2c0e067fc92edbc77e34df311d71a267.png,0015
0015,1,メガスピアー,,1,40.5,1.4,1,どくばちポケモン,120,0,12,8,りょうてと　おしりにある　３ぼんの　どくばりで　あいてを　さして　さして　さしまくって　こうげきする。　（『ポケットモンスター Ｘ』より）,しゅうだんで　あらわれることもある。　もうスピードで　とびまわり　おしりの　どくばりで　さしまくる。　（『ポケットモンスター Ｙ』より）,,4,9,3,1,5,9,0,,1,0,0,https://zukan.pokemon.co.jp/zukan-api/up/images/index/7c33ce0415a5db560e19ae68057e3c07.jpg,https://zukan.pokemon.co.jp/zukan-api/up/images/index/b7c7f3673a25ab248cee5868b66fb551.png,https://zukan.pokemon.co.jp/zukan-api/up/images/index/760bd5ed0284f49c448ce77f39cc8a77.png,0015-1
0016,0,ポッポ,,1,1.8,0.3,1,ことりポケモン,98,118,1,10,たたかいを　このまない　おとなしい　せいかくだが　へたに　てを　だすと　きょうれつに　はんげきされるぞ。　（『ポケットモンスター ブリリアントダイヤモンド・シャイニングパール』より）,,,3,3,3,3,3,4,0,,0,0,0,https://zukan.pokemon.co.jp/zukan-api/up/images/index/cd75495e1bf1d8449084b598d9e8a109.jpg,https://zukan.pokemon.co.jp/zukan-api/up/images/index/9ffa1820513c085c448ee9f884c4991a.png,https://zukan.pokemon.co.jp/zukan-api/up/images/index/a23898c81d21da88961ce2a5099306b3.png,0016
0017,0,ピジョン,,1,30.0,1.1,1,とりポケモン,98,118,1,10,ひろい　なわばりを　とびまわりながら　えものを　さがす。　はったつした　あしの　ツメで　えものを　しとめる。　（『ポケットモンスター ブリリアントダイヤモンド・シャイニングパール』より）,,,4,4,4,3,3,5,0,,0,0,0,https://zukan.pokemon.co.jp/zukan-api/up/images/index/4f620cba85a42e0a9d1e2b851809cf2e.jpg,https://zukan.pokemon.co.jp/zukan-api/up/images/index/5f09d82833710f6c829369835336d7e8.png,https://zukan.pokemon.co.jp/zukan-api/up/images/index/aa29d35d1fba822eabb2e3b7865c73b5.png,0017
0018,0,ピジョット,,1,39.5,1.5,1,とりポケモン,98,118,1,10,ピジョットが　ちからいっぱい　はばたくと　たいぼくも　しなるほどの　きょうふうを　まきおこす。　（『ポケットモンスター ブリリアントダイヤモンド・シャイニングパール』より）,,,5,5,5,5,5,6,0,,0,0,0,https://zukan.pokemon.co.jp/zukan-api/up/images/index/eb170e78f50fca4bb089b552090d031b.jpg,https://zukan.pokemon.co.jp/zukan-api/up/images/index/ad8eb3e08de6bface07c2e390ffb4e86.png,https://zukan.pokemon.co.jp/zukan-api/up/images/index/c90558e5f62a5d38f92f1ada76f78cbb.png,0018
0018,1,メガピジョット,,1,50.5,2.2,1,とりポケモン,144,0,1,10,エサを　さがすとき　すいめん　すれすれを　すべるように　とんで　コイキングなどを　わしづかみにする。　（『ポケットモンスター Ｘ』より）,うつくしい　ハネを　ひろげて　あいてを　いかくする。　マッハ２で　そらを　とびまわる。　（『ポケットモンスター Ｙ』より）,,5,5,5,8,5,8,0,,1,0,0,https://zukan.pokemon.co.jp/zukan-api/up/images/index/021aecc14fb88dec13ab2655a3294b05.jpg,https://zukan.pokemon.co.jp/zukan-api/up/images/index/a809b36313a2e53ca307b5083232914f.png,https://zukan.pokemon.co.jp/zukan-api/up/images/index/8dea440f65d7550b049e438c124c6417.png,0018-1
0019,0,コラッタ,,1,3.5,0.3,1,ねずみポケモン,139,61,1,0,どんな　ばしょにも　すみついて　いきていける　せいめいりょく。　けいかいしんが　とても　つよい。　（『ポケットモンスター ブリリアントダイヤモンド・シャイニングパール』より）,,,2,4,3,2,3,5,0,,0,0,0,https://zukan.pokemon.co.jp/zukan-api/up/images/index/4c287d2b6cb1d4bd5c0b8d4176e9f002.jpg,https://zukan.pokemon.co.jp/zukan-api/up/images/index/7bbce6f5ca4059e34c7b8ca551fe7c08.png,https://zukan.pokemon.co.jp/zukan-api/up/images/index/4a9f1c37b3747e615567fb41e9be0ea3.png,0019
0019,1,コラッタ,アローラのすがた,7,3.8,0.3,1,ねずみポケモン,54,162,16,1,まえばで　ドアを　かじり　みんかに　しんにゅう。　ヒゲを　ひくつかせ　エサを　さがしだし　ぬすんでいくぞ。　（『ポケットモンスター サン』より）,ひが　くれると　かつどう。　むれの　ボスである　ラッタのため　いいエサを　もとめて　まちじゅうを　かけめぐる。　（『ポケットモンスター ムーン』より）,,2,4,3,2,3,5,0,,0,0,0,https://zukan.pokemon.co.jp/zukan-api/up/images/index/e62c11242de1a49223f3ed415fbcbd5d.jpg,https://zukan.pokemon.co.jp/zukan-api/up/images/index/28737b99c1a7956aeba0e5a3812c51a5.png,https://zukan.pokemon.co.jp/zukan-api/up/images/index/c8cdb4cf130d2e76a19e990959ae7a76.png,0019-1
0020,0,ラッタ,,1,18.5,0.7,1,ねずみポケモン,139,61,1,0,のびつづける　まえばを　けずるため　かたい　ものを　かじる　しゅうせい。　ブロックべいも　かじって　こわす。　（『ポケットモンスター ブリリアントダイヤモンド・シャイニングパール』より）,,,4,5,4,3,5,6,0,,0,0,0,https://zukan.pokemon.co.jp/zukan-api/up/images/index/5f96e21ee88dd26b83cb11474f5d877c.jpg,https://zukan.pokemon.co.jp/zukan-api/up/images/index/dfeb249dd6ad5cf669f01d8174ccbf0e.png,https://zukan.pokemon.co.jp/zukan-api/up/images/index/067c969a55f31c2728d6f5066dce5794.png,0020
0020,1,ラッタ,アローラのすがた,7,25.5,0.7,1,ねずみポケモン,54,162,16,1,コラッタを　ひきい　グループをつくる。　グループには　テリトリーが　あり　エサを　めぐり　こうそうに　なる。　（『ポケットモンスター サン』より）,エサの　あじと　せんどに　こだわる　グルメな　ポケモン。　ラッタが　すむ　レストランは　アタリと　いわれる。　（『ポケットモンスター ムーン』より）,,5,5,5,3,5,5,0,,0,0,0,https://zukan.pokemon.co.jp/zukan-api/up/images/index/666fb1b92ef744c728e9bdea2ec39c4b.jpg,https://zukan.pokemon.co.jp/zukan-api/up/images/index/f4162cc4e4eedc49f1f21a9a30c47991.png,https://zukan.pokemon.co.jp/zukan-api/up/images/index/7852a70a15c5ed8ff074219a8501ee9d.png,0020-1
0021,0,オニスズメ,,1,2.0,0.3,1,ことりポケモン,98,0,1,10,ちいさな　つばさを　いそがしく　はばたかせて　とぶ。　くさむらにいる　えものを　くちばしで　さがしだす。　（『ポケットモンスター ブリリアントダイヤモンド・シャイニングパール』より）,,,3,4,2,2,2,5,0,,0,0,0,https://zukan.pokemon.co.jp/zukan-api/up/images/index/c5d61ad089c3f65ac7f11b0863d8787c.jpg,https://zukan.pokemon.co.jp/zukan-api/up/images/index/b836be565d23d99e9899705d9037df72.png,https://zukan.pokemon.co.jp/zukan-api/up/images/index/4a8810b5ad00d47299c36d9e850664d3.png,0021
0022,0,オニドリル,,1,38.0,1.2,1,くちばしポケモン,98,0,1,10,おおきな　つばさで　１にちじゅう　とびまわる　たいりょくの　もちぬし。　するどい　くちばしで　たたかう。　（『ポケットモンスター ブリリアントダイヤモンド・シャイニングパール』より）,,,4,6,4,4,4,6,0,,0,0,0,https://zukan.pokemon.co.jp/zukan-api/up/images/index/e7674425f0634eb1d1063a53f36eaa64.jpg,https://zukan.pokemon.co.jp/zukan-api/up/images/index/47b8fcfa90ffecb307828c8bfe3f045b.png,https://zukan.pokemon.co.jp/zukan-api/up/images/index/08b5e3287bb8ec1289393cb590fd73ab.png,0022
0023,0,アーボ,,1,6.9,2.0,1,へびポケモン,13,111,8,0,自由に　あごを　外せるので　大きな　獲物でも　飲みこめるが　重くなって　動けなくなる。　（『ポケットモンスター スカーレット』より）,草地などに　多く　生息する。　舌を　チロチロ　させて　まわりの　危険を　感じとる。　（『ポケットモンスター バイオレット』より）,,3,4,3,3,4,4,0,,0,0,0,https://zukan.pokemon.co.jp/zukan-api/up/images/index/b2845d8974a456ec97edac3650e8bcce.jpg,https://zukan.pokemon.co.jp/zukan-api/up/images/index/ec956e46baa764b9c939d6838c7becab.png,https://zukan.pokemon.co.jp/zukan-api/up/images/index/38739cc93b8abe9b205b784d33934c05.png,0023
0024,0,アーボック,,1,65.0,3.5,1,コブラポケモン,13,111,8,0,お腹の　模様が　怖い顔に　見える。　弱い敵は　その模様を　見ただけで　逃げだしてしまう。　（『ポケットモンスター スカーレット』より）,とても　執念深い　性格。　一度　ターゲットに　決めた　獲物は　どこまでも　追い続ける。　（『ポケットモンスター バイオレット』より）,,4,6,5,4,5,5,0,,0,0,0,https://zukan.pokemon.co.jp/zukan-api/up/images/index/d7d45dd28aa494f926f71a2fddd4bf6e.jpg,https://zukan.pokemon.co.jp/zukan-api/up/images/index/b6b559df10674cb8da450e67ade5e13f.png,https://zukan.pokemon.co.jp/zukan-api/up/images/index/b747bb7b0f234dfa50b4440515fa3658.png,0024
0025,0,ピカチュウ,,1,6.0,0.4,1,ねずみポケモン,103,0,5,0,両頬には　電気を　溜めこむ　袋がある。　怒ると　溜めこんだ　電気を　一気に　放ってくる。　（『ポケットモンスター スカーレット』より）,何匹かが　集まっていると　そこに　猛烈な　電気が　溜まり　稲妻が　落ちることがあるという。　（『ポケットモンスター バイオレット』より）,頬に　電気を溜めし　袋を　有す。　森林を　棲み処とし　硬き　木の実は　電撃で　焼き　食べる　知恵者なり。　（『Pok&eacute;mon LEGENDS アルセウス』より）,3,4,3,3,3,6,0,,0,0,0,https://zukan.pokemon.co.jp/zukan-api/up/images/index/33f214938d56d4402c06ce8e34f2f768.jpg,https://zukan.pokemon.co.jp/zukan-api/up/images/index/5bb0cfd44302cd4df0c0c88d37457931.png,https://zukan.pokemon.co.jp/zukan-api/up/images/index/bed6cb9b4af241e7a2bd627dd995e89f.png,0025
0025,1,ピカチュウ,キョダイマックスのすがた,8,"9,999.9",21.0,1,-,103,0,5,0,ぼうちょうした　キョダイマックスの　パワーによって　からだが　ふくれて　そらまで　のびる　しっぽに　なった。　（『ポケットモンスター ソード』より）,カミナリの　しっぽを　たたきつけると　らくらいに　ひってきする　でんあつと　でんりゅうが　あいてを　つらぬく。　（『ポケットモンスター シールド』より）,,3,4,3,3,3,6,0,,0,0,1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/4c6af566067184b9ab08e2514129e511.jpg,https://zukan.pokemon.co.jp/zukan-api/up/images/index/416c144def923f44d8d0ca7e79405fa0.png,https://zukan.pokemon.co.jp/zukan-api/up/images/index/80d6cfacd4779c989dbec2091500854e.png,0025-1
0026,0,ライチュウ,,1,30.0,0.8,1,ねずみポケモン,103,0,5,0,尻尾が　アースの　役目をはたして　電気を　地面に　逃がすので　自分自身は　しびれたりしない。　（『ポケットモンスター スカーレット』より）,頬の　電気袋に　溜まった　電気が　最大量になると　両耳は　まっすぐ　伸びる。　（『ポケットモンスター バイオレット』より）,放つ　電撃は　１０万ボルトを　凌ぎ　我が故郷に　棲む　ダイオウドウをも　一撃で　気絶する　威力なり。　（『Pok&eacute;mon LEGENDS アルセウス』より）,4,6,4,6,5,7,0,,0,0,0,https://zukan.pokemon.co.jp/zukan-api/up/images/index/4aafe34bf6a6fb61c4c45af7f3389c0f.jpg,https://zukan.pokemon.co.jp/zukan-api/up/images/index/b044779bd695701e03dd7b3bc83421e9.png,https://zukan.pokemon.co.jp/zukan-api/up/images/index/e816471d233440ea782f45ab587af80d.png,0026
